,airline_sentiment,tweet_coord,latitude,longitude
0,2,"40.74804263, -73.99295302",40.74804263,-73.99295302
1,0,"42.361016, -71.02000488",42.361016,-71.02000488
2,1,"33.94540417, -118.4062472",33.94540417,-118.4062472
3,0,"33.94209449, -118.40410103",33.94209449,-118.40410103
4,2,"33.2145038, -96.9321504",33.2145038,-96.9321504
5,1,"34.0219817, -118.38591198",34.0219817,-118.38591198
6,1,"33.57963333, -117.73024772",33.57963333,-117.73024772
7,0,"40.6413712, -73.78311558",40.6413712,-73.78311558
8,2,"36.08457854, -115.13780136",36.08457854,-115.13780136
9,1,"37.79374402, -122.39327564",37.79374402,-122.39327564
10,0,"26.074379, -80.1416831",26.074379,-80.1416831
11,2,"33.9469039, -118.40716847",33.9469039,-118.40716847
12,0,"51.04345575, -114.06071363",51.04345575,-114.06071363
13,1,"40.64662464, -73.77090177",40.64662464,-73.77090177
14,2,"33.94652852, -118.40766257",33.94652852,-118.40766257
15,2,"38.9128188, -77.00798226",38.9128188,-77.00798226
16,2,"32.84359605, -96.84910929",32.84359605,-96.84910929
17,0,"32.8437698, -96.84928399",32.8437698,-96.84928399
18,0,"26.06726717, -80.14433663",26.06726717,-80.14433663
19,2,"32.8454782, -96.8504585",32.8454782,-96.8504585
20,1,"39.24087254, -94.63994975",39.24087254,-94.63994975
21,2,"37.77465018, -122.44032176",37.77465018,-122.44032176
22,1,"33.94696831, -118.40747994",33.94696831,-118.40747994
23,0,"40.63767372, -74.11075451",40.63767372,-74.11075451
24,1,"40.78986648, -73.10068286",40.78986648,-73.10068286
25,2,"42.5696777, -71.42056878",42.5696777,-71.42056878
26,1,"37.80065252, -122.43857414",37.80065252,-122.43857414
27,1,"36.08546367, -115.31814055",36.08546367,-115.31814055
28,0,"19.43706642, -99.07927123",19.43706642,-99.07927123
29,2,"39.8621249, -104.6740909",39.8621249,-104.6740909
30,0,"52.59657643, -2.19877833",52.59657643,-2.19877833
31,1,"29.98386923, -95.33729612",29.98386923,-95.33729612
32,0,"29.98340611, -95.33682231",29.98340611,-95.33682231
33,0,"29.98350019, -95.33675519",29.98350019,-95.33675519
34,0,"29.98377529, -95.33756559",29.98377529,-95.33756559
35,0,"29.98350283, -95.33678993",29.98350283,-95.33678993
36,0,"29.98384925, -95.3374653",29.98384925,-95.3374653
37,0,"29.98372726, -95.33734532",29.98372726,-95.33734532
38,0,"29.98521945, -90.25215941",29.98521945,-90.25215941
39,0,"29.98698389, -90.25081767",29.98698389,-90.25081767
40,0,"29.98699328, -90.25081691",29.98699328,-90.25081691
41,0,"29.98878092, -90.25836915",29.98878092,-90.25836915
42,0,"29.9880285, -90.25781369",29.9880285,-90.25781369
43,0,"29.987463, -90.25860012",29.987463,-90.25860012
44,0,"29.98746669, -90.25862007",29.98746669,-90.25862007
45,2,"35.8057062, -78.7869445",35.8057062,-78.7869445
46,0,"52.48854137, -1.91022836",52.48854137,-1.91022836
47,0,"45.58711296, -122.58038932",45.58711296,-122.58038932
48,2,"59.38247253, 18.00789007",59.38247253,18.00789007
49,0,"32.86680572, -80.01338439",32.86680572,-80.01338439
50,1,"41.9785651, -87.90833965",41.9785651,-87.90833965
51,1,"53.36729431, -2.27861694",53.36729431,-2.27861694
52,0,"41.98202331, -87.90374263",41.98202331,-87.90374263
53,1,"37.7994546, -122.427629",37.7994546,-122.427629
54,0,"41.97777091, -87.90782014",41.97777091,-87.90782014
55,0,"41.88298649, -87.63403627",41.88298649,-87.63403627
56,1,"35.8056542, -78.786848",35.8056542,-78.786848
57,0,"33.9411179, -118.3972405",33.9411179,-118.3972405
58,0,"41.98191311, -87.80888924",41.98191311,-87.80888924
59,0,"39.85862444, -104.6768992",39.85862444,-104.6768992
60,2,"38.9470418, -77.4511456",38.9470418,-77.4511456
61,0,"41.97758714, -87.91388554",41.97758714,-87.91388554
62,2,"38.9470207, -77.4511745",38.9470207,-77.4511745
63,0,"40.68545235, -74.18374208",40.68545235,-74.18374208
64,1,"51.3228181, 5.3576138",51.3228181,5.3576138
65,0,"26.07324041, -80.14510971",26.07324041,-80.14510971
66,0,"40.69943599, -74.17868875",40.69943599,-74.17868875
67,0,"26.07694041, -80.13546475",26.07694041,-80.13546475
68,0,"40.6992418, -74.17884798",40.6992418,-74.17884798
69,0,"28.62111274, -81.29294408",28.62111274,-81.29294408
70,0,"40.69814396, -74.17906717",40.69814396,-74.17906717
71,0,"39.85790482, -104.67039013",39.85790482,-104.67039013
72,0,"39.85799572, -104.67056217",39.85799572,-104.67056217
73,0,"51.72050559, 8.72711201",51.72050559,8.72711201
74,0,"29.7420124, -95.5606921",29.7420124,-95.5606921
75,0,"40.6875448, -74.17714813",40.6875448,-74.17714813
76,0,"19.43493094, -99.18877967",19.43493094,-99.18877967
77,0,"29.7421541, -95.5600896",29.7421541,-95.5600896
78,0,"41.97745295, -87.91025951",41.97745295,-87.91025951
79,0,"41.97475934, -87.89040377",41.97475934,-87.89040377
80,2,"51.322819, 5.3576218",51.322819,5.3576218
81,0,"41.97474769, -87.89039148",41.97474769,-87.89039148
82,0,"41.97758466, -87.91065356",41.97758466,-87.91065356
83,0,"29.98788997, -95.34470061",29.98788997,-95.34470061
84,0,"45.52146907, -122.69810485",45.52146907,-122.69810485
85,0,"41.97495038, -87.89005988",41.97495038,-87.89005988
86,0,"29.98877308, -95.33846478",29.98877308,-95.33846478
87,0,"41.97883697, -87.90639116",41.97883697,-87.90639116
88,1,"45.67920767, -111.04847652",45.67920767,-111.04847652
89,0,"41.97888728, -87.90617197",41.97888728,-87.90617197
90,0,"33.64323551, -84.44248239",33.64323551,-84.44248239
91,1,"40.69450196, -74.1749219",40.69450196,-74.1749219
92,0,"39.24541389, -106.88172648",39.24541389,-106.88172648
93,2,"20.0615871, 110.18390431",20.0615871,110.18390431
94,0,"39.84911904, -104.67447584",39.84911904,-104.67447584
95,0,"36.08161548, -115.14959772",36.08161548,-115.14959772
96,1,"27.9746606, -82.5320172",27.9746606,-82.5320172
97,0,"45.67922537, -111.04823044",45.67922537,-111.04823044
